Privatefixedinvestment;Nonresidential;Structures;Commercialandhealthcare;Manufacturing;Powerandcommunication;Miningexploration,shafts,andwells1;Otherstructures2;Equipment;Informationprocessingequipment;Computersandperipheralequipment;Other3;Industrialequipment;Transportationequipment;Otherequipment4;Intellectualpropertyproducts;Software5;Researchanddevelopment6;Entertainment,literary,andartisticoriginals;Residential;Structures;Permanentsite;Singlefamily;Multifamily;Otherstructures7;Equipment;Privatefixedinvestmentinstructures;Privatefixedinvestmentinnewstructures;Nonresidentialstructures8;Residentialstructures9;Privatefixedinvestmentininformationprocessingequipmentandsoftware
-5,1;-4;-2,4;-7;-3,4;2,4;-4,9;8,4;-10,5;0,6;4;-1;-11,1;-30,8;-7,7;11,7;25,8;6,7;6,8;-8,2;-8,5;-9,4;-4,9;-30,5;-7,4;4,6;-5,9;-5,4;-2,3;-8,2;6,2
4,8;5,2;9,1;1,7;44,2;-28,7;45,6;21,3;1,9;2,9;-4,5;6,9;-2,7;24,6;-10,1;8,6;13,3;8;3,4;3,6;3,6;11,3;15,5;-10,7;-5,7;1,5;6;7,1;9,3;5;5,4
-7,7;-5,1;-1,9;-10,6;5,4;3,4;12,2;3,5;-11,6;-6,7;-16,8;-1,8;-16,6;-17,2;-8,6;7,1;11,6;7,2;0,2;-14,9;-15;-16,9;-18,2;-8,9;-12,4;-8,6;-9,3;-8,3;-1,9;-14,3;-2,2
-3,2;2,9;-1,4;-3,4;-3,4;9,9;-5,3;-0,6;5,8;-5,3;-19,2;1;1,3;48,2;-0,7;1,7;-5,7;5;3,6;-19,8;-20,1;-26;-28,7;-8,4;-11,8;-7,1;-11,9;-12,8;-1,4;-23,3;-5,4
-9,9;-6,1;-16,8;-25,4;-22,7;16,8;7,5;-21,6;-5,8;6;30,2;-2,8;-12;-14,3;-8,3;7,6;18,4;3,3;5,5;-21,2;-21,5;-26,9;-28,5;-17,4;-14,1;-7,6;-19,3;-18;-16,7;-19,4;9,1
-10,6;-7,8;-8,3;-32,8;12,7;35,8;27,6;-9;-13,6;-10;-11,5;-9,7;-6,2;-2,3;-35,2;6,7;6,4;10,7;-4,9;-19,5;-19,9;-33,1;-34,9;-22,7;-1,2;-4;-14,5;-17,4;-8,3;-26,7;-5,8
1,2;-2;-10,5;-14,7;-13,6;20,5;-6,1;-23,3;-2,5;11,4;15,2;9,7;-6,1;-16;-6,9;9,3;7,4;13,4;-0,5;12,9;13;5,5;16,9;-41,1;21,7;9,5;1;-4;-10,4;3,8;10,3
0,5;-3,4;-23,6;-28,1;-29,3;10,1;-54,8;-11,7;6,2;16;42,3;6,7;0;13;-8,6;1,4;5,6;-1,6;4,9;14,2;15;39,9;55,7;-32,1;-7,7;-10,4;-4,7;-2,4;-23,4;25,8;13,1
1,7;-0,2;-8;-24,6;11,9;9,3;15,2;-14,2;-1,9;12,6;55,9;-1,8;-6,8;-18,6;-2,1;11,4;14,7;11,6;5,3;8,2;8,5;13,7;15,6;0,3;2,7;-5;0,9;1,7;-7,8;11,7;13,1
4,4;-1,6;-5,1;5,2;-0,4;-1;-39,7;-12,8;-3,1;5,6;6,8;4,9;-1,3;-20,5;-2,3;5,1;17,5;-0,9;7;24,9;25,1;17,1;22,5;-18,8;35,4;16,5;11,3;6;-5,1;17,1;8,7
13,8;13,6;0,1;3;-18,3;6,5;-15;15;25,2;26,1;82,7;6,9;8,8;85,8;-1,6;5,1;17,5;-0,4;5,2;14,4;14,7;27,6;24,1;60,3;1,1;1,5;8,4;11;0;21,4;23,7
4,7;6,3;3,7;7,3;-11,1;3,3;23,6;3,8;9,4;26,3;38,6;21,1;10,3;-22,8;17,1;2,4;17;-3,8;1,5;0,2;0,1;-4,1;4,2;-54,3;5,6;1,2;1,6;3,5;3,6;3,4;23,9
12,2;10,9;5,4;11;0,6;8,3;40,3;-16,4;15,6;2,5;10,2;-0,7;17,3;56,1;5,2;6,7;21,5;0,4;5,6;16,2;16,3;9,4;14;-28,8;25;9,3;11,8;9;5,3;12,2;7,2
3;4;-5,2;1,2;-54,9;16,2;18,6;8,2;7,8;12,6;38,7;2,4;3,5;-4,1;18,4;5,1;9,3;2,1;8,4;0,3;0,3;3,6;7,4;-32,5;-3,4;-1,9;-1,9;1;-5,2;6,2;11,7
7,4;8,1;-6,5;2,2;-21,3;-41;-7,3;41,9;17;8,8;12,4;7,3;2,3;71,1;4,7;4,1;9,7;0,9;5,2;5,4;5,5;0,3;1;-8,4;11,9;2,2;0,6;-0,6;-6,6;4,4;9
6,4;3,3;1;-5,6;24,2;-19,4;14,8;15,8;4,7;28,1;45,5;20,9;5,4;-25,8;3,3;2,3;10,4;-2,5;4,5;15,8;16,1;12,8;10,9;39,3;20;4,8;10;7,3;0,8;12,5;23
17;15,2;12,7;16,3;2,4;28,4;48,8;-11,9;23,9;7,5;6,9;7,8;26,5;68,1;12,7;0,1;7,8;-4,8;3,3;22,1;22,8;24,4;27,3;-8,3;21;-6,9;18,9;17,3;12,6;20,9;7,6
4,8;4,3;-12;-17;10,1;0,3;-39,3;-10,5;11,8;13,5;28,6;7,4;2,8;21,5;9,5;3,8;11,6;-0,3;4,3;6,1;6,3;16,2;15,6;25,5;-4,4;-3,4;-0,9;1;-12;11,4;13
8,3;6,4;17,7;48,5;65,6;-34,6;-7;6,3;2,4;10,5;20,1;6,3;3,1;-13,2;7,1;5,9;9,1;3,9;6,6;13,6;13,7;18,4;15,2;69,6;8,1;7,8;15,2;15,1;17,4;13,6;10,2
3,4;7;-2,7;-3,7;12,1;-5,7;9,7;-14,2;10,8;13,1;22;9,1;11,6;10,7;5,5;7,8;9,4;7,1;7,7;-5,8;-5,9;-5,1;-9,3;61,9;-6,9;0;-4,7;-2,6;-2,7;-2,6;12,1
10;16,5;5,7;-1;29,4;4,1;21,8;-3,6;26,3;23,9;54,7;11,4;12,3;64,5;9,9;5,6;6,6;4,2;8,3;-6;-6,3;-8,6;-11,3;25,3;-3,4;12;-2;-0,6;5,6;-4,7;19,1
8,7;15,6;11,6;14,1;9,7;26,1;-40,2;29,3;22,1;26;50,7;15,2;18,9;27;12,3;5;6,4;2,7;10,1;-8,8;-8,9;-11,8;-14,7;21,9;-5,3;-2,6;-1,5;-0,8;11,5;-9,1;20,6
-0,3;3,9;10;5,8;37;14,3;-31,5;13,9;-0,6;25;80,9;3,5;6,3;-34,4;-2,8;9,6;11,3;8,4;10,2;-11,8;-11,9;-20,8;-22,6;-3,1;0,1;-6;-3,8;-4;9,9;-13,7;21,4
5,7;2,6;1,3;-1;-2,8;-14,1;-7,4;30,7;0,7;6,6;35,7;-6,4;2,9;-8,6;-1,8;8,3;14,3;5,6;6,8;15,7;15,9;8,6;5,9;33,6;24,8;4,9;9,8;4,8;1,2;7,7;8,5
8;8;-3,4;-3,4;-8,4;-24,2;0,9;19,7;11,8;29;75,4;8,7;-3,4;10,5;4,2;10,3;14,5;11,1;1,4;8;8,2;15,7;16,5;9,3;0,2;-1,1;3,5;5,1;-3,5;12,3;25,1
10,6;10,5;7,6;1,3;23,2;-13;16,8;21,3;10,4;25,4;37,1;19,9;9,8;-5,4;3,6;13,4;16,3;11,6;14,1;10,8;11,2;14,9;14,3;19,3;7;-6,3;9,8;9,9;7,4;11,9;22,9
13;11,1;9;28,2;-8,1;-19,2;32,5;4,8;12,2;19;33,9;11,8;7,8;12,6;5,2;10,3;18;7,6;6,5;18,6;18,8;23,8;22,2;37,2;13,1;10;14,9;13,5;8,8;17,2;18,7
9,4;13,2;4,9;13,5;-7,9;-16,8;0,7;16,3;17;21,5;41;12,1;-3,7;42,4;11;12,2;19,4;9,7;8;-0,8;-0,7;-3,4;2;-38,7;2,6;-7,3;1,4;1,2;4,8;-1,3;20,9
6,5;10,5;23;20,3;47,6;17,7;5,4;20,8;5;10,3;28;1,5;4,7;-2,1;3,6;12,7;27,3;10;-1,9;-4,5;-4,6;-5,6;-7,3;11,6;-3,5;4,6;5,5;7,3;22,7;-3,4;14,7
7,7;9,6;2,4;18,4;-32,9;-28,9;61,9;8,5;8,1;19,1;53,3;3,1;-1,9;0,4;9,9;20,1;54,1;10,5;-1,7;2,1;2,3;-0,9;-4,5;34,2;6,1;-8,8;2,3;1,1;2,2;0,2;28,1
7,8;8,6;-3,6;-15,2;-13,3;6,8;13,5;16,7;13,9;25,6;55,4;10,9;7,9;8,1;6,7;8,5;22,6;1;7,7;5,7;5,8;5,3;3,9;16;6,4;2,6;1,9;0,8;-3,6;4,4;24,8
15;18,8;17,9;23,9;29,1;36,2;-9,9;4,7;23,2;37,3;62,4;24,4;2,3;21,4;27,2;10,5;26,2;4;2,5;3,9;4;-3,6;-1,9;-15,4;13,3;2,9;9,4;6,8;17,8;-1,5;34
3;2,6;2,2;-4,8;-12,4;5;5,4;25;-0,9;11,4;20,8;6,2;1;-23,8;4,8;10,8;26,1;2;10,4;4,3;4,3;7,4;4,9;28;1;2,3;3,5;1,5;-2,6;5;15,6
12,3;13,6;-3;4,7;24,6;3,8;-32,6;-20,5;22,6;36,8;71,3;20;21,8;6,1;17,7;11;16,1;12,7;-4;8,6;8,6;9,8;12,9;-10,7;7,1;7,8;3,7;4,1;1,4;6,4;30,2
14,3;14,2;23,6;22,7;-2,7;77,2;-0,9;31,2;12,2;19,9;42,3;8,4;-3,4;17,8;11,8;10,8;16;7,4;10,7;14,6;14,6;14,1;18,7;-16,9;15,2;14,6;18,2;15,7;23,1;9,9;18,7
7,9;6,5;-0,6;-5;-9,6;12,6;-8,9;10,1;6,2;10,2;23,3;3,3;-8;24;-2,1;13,6;23;9,8;6,5;12,2;12,3;19,4;20,3;11,6;4,5;6,9;6,9;6,9;-0,9;13,9;14
11,6;12,2;-0,8;16,5;-3,6;-31,6;-36,5;6,2;19;27,3;50,6;15,8;1,5;50,5;-6,3;10,5;27,6;1,5;4,6;9,7;9,7;13;13,9;5,9;5,9;9,3;5,4;5;-1,3;10,4;27,4
7,2;9,2;-0,8;-3;-24,5;88,8;-34;-4,1;12,3;25,7;65,8;6,9;-0,7;4;14,6;11,5;22,5;7,8;-0,8;1,6;1,4;4,2;3,1;13,4;-2;11,1;0,5;1,6;-1,1;3,9;24,6
9,9;11;-3,9;3,5;-30,3;-19,2;27,3;2,1;15;33,9;56,5;21,8;5,9;14;-5,8;16,3;33,7;10,2;-2,7;6,4;6,3;-0,6;-1,6;7,7;15,3;14,1;2,2;-1,7;-4;0,1;33,9
9,6;12;0,1;1,7;-9;55,3;-24;-15,3;14,2;17,1;18,5;16,3;5,4;25,4;4,6;17,4;24,5;14,6;9;3;2,9;3,3;1,5;19,9;2,4;11,7;1,8;1,6;-0,2;3;19,6
2,1;1,8;4,5;0,4;-17,4;21,8;47,6;4,8;-2,6;-2,4;-5,1;-0,8;0,8;-13,1;8,8;8,5;13,9;5,1;5,8;3;3;10;12,4;-7,3;-5,2;2,5;3,6;6,4;4,2;8,1;3,1
12;15,5;9,1;3;17,5;1,8;23,5;18,6;19,3;39,9;24,1;49,6;20,5;-3;11,9;13,4;14,2;13,8;10,3;2;1,8;4,7;6,8;-11,5;-1,6;11,7;4,6;5,2;8,6;2,7;30,3
9,1;13,1;18,1;19,7;42;-2,7;51,2;10;15,6;29,3;51,9;18,4;11;4,2;9,6;5;9;0,8;8,9;-2;-2,1;-4,8;-6,1;7,1;1,5;2,3;5,4;4,9;17,7;-4,2;21,9
1,8;4,4;15;13,5;-5,1;58,9;22,2;3,6;1,4;12;14,5;10,6;7,4;-13,5;-6,3;2,3;-3,7;8,2;-0,3;-6,1;-6,2;-12,1;-11,5;-16,8;1,7;0,9;1,9;1,3;14,7;-8,7;6,3
1,2;1,5;1,5;4;4,4;11;18,7;-15,5;-0,7;14,1;6,8;18,3;-6;-18,6;-0,3;5,8;12,6;3,4;-3,2;0,4;0,4;0,5;-1,5;19;0,1;4,5;0,8;0,4;1,5;-0,6;13,5
-2,3;-3,5;-10,5;-3,3;29,1;-53,3;38,7;-20,4;-3;-2,5;16,8;-11,2;0,9;-14,2;5,9;1,4;5;1,2;-8;1,7;1,8;5,6;5,4;7,3;-2,7;-0,6;-3,4;-3,2;-10,7;3,5;0
-4,6;-8;2,5;-14,1;-20,9;98,8;11,7;4,4;-15,6;-20;-22,6;-18,6;-25,5;0,7;-10,6;-2;-7,6;3,7;-5,8;6,3;6,4;7,3;8;2;5,3;0,7;4,8;4;2,2;5,6;-15,7
-2,8;-4,6;3,2;-24,1;-15,4;0,4;16;92,1;-10;-14,3;-25,1;-8,5;-15,8;-11,1;7,4;-1,6;-1,5;-2,2;0,5;2,5;2,5;1,8;1,8;1,5;3,4;2;2,8;-3,8;-11,3;2,7;-9,7
-8,8;-11;-32,7;-20,3;-60,1;26,2;-45,9;-54,7;-1,6;1,1;27,1;-9,4;-11;13;-10,8;-5,8;-11,5;-3,5;2,6;-2,5;-2,7;-7,4;-9,3;9,3;3,4;8,5;-15,8;-11,9;-22,1;-3;-3,9
-3,4;-9,3;-19,3;-7,1;-50,6;10,4;-61,2;-17,8;-9;-6,9;23;-19,1;3,5;-25,5;-4,9;-1,4;3;-7,8;11,4;13,8;13,9;6,6;6,2;9,4;23,4;4;0,2;-5,2;-19,7;7,1;-3,2
-0,4;-4,4;-20;-17;-35,8;-37,3;-12,4;-3,7;-1,9;-3,1;-7,4;-1;-9,9;-6,6;14,7;4,2;9,2;0,7;3,4;10,3;10,4;13,3;14;8,3;7,1;2,9;-1,5;-2,8;-20;11;1,5
-0,6;-1,3;-17,5;-13,3;-39,6;-35,8;40,3;-20,7;3,9;13,5;20,8;10;4,8;-7,5;-0,8;2,9;8,3;-2,8;8,4;1,2;1,3;4;4,8;-2,1;-2;-4,4;-5,6;-4,3;-17,3;5;11,5
-1,7;-5,3;-5,2;-10,7;-8,7;10,4;-4,6;-4,6;-7,4;-7,2;-6,5;-7,5;-2,2;-19,3;-0,7;-1,8;-13,3;5,8;5,2;7,4;7,5;4,6;5,8;-4,9;11;2,8;3,1;0,2;-5,1;3,7;-9,6
3,7;2;-2,5;-13,5;-12,7;23,7;18,9;-6,7;1,5;17,6;18,8;17,1;-1,4;-26,8;10,1;6,1;9,8;1,9;11;7,6;7,7;8,7;8,8;8;6,5;-0,7;4,3;2,6;-2,9;5,9;14,5
10;11,5;11,3;4,7;41,7;-14,2;34,1;26,1;16,7;12,8;8,5;15,1;17,1;39,8;4,4;4;5,5;0,2;12,8;6,5;6,4;5,5;6,2;-0,4;7,5;18;7,9;8;11;6,2;9,9
13,6;8,8;-1,4;10,3;2,8;-24,1;2,7;-5,8;13,7;38;29,3;42,4;-8,9;-3,6;20,3;8,3;27,7;-2,7;1,6;25;25;23,2;24,3;13,5;27,3;19,6;16;10,7;-1,7;18,6;33,9
7,5;5,1;0,8;2,9;2,1;-5,6;10,7;-4,5;7,2;26,7;31,3;24,5;-8,5;-5,7;6,7;4,8;15;-1,2;-0,1;12,4;12,5;25,3;28,7;-2;-1,6;10,4;8,8;11,2;0,3;17,8;22
-1,1;-3,9;-7,8;-5,8;-12,4;-20,4;-2,6;-3,3;-5;-0,9;-6,4;1,8;-14,9;-2,8;-3,4;0,7;5,3;-1,1;-4,3;4,7;4,6;2,5;2,3;3,6;7,4;11,7;0,8;-1,8;-8,4;2;1,4
11,4;10,4;2,6;16,6;-13,2;-40,5;6,2;18,3;18,2;11,4;12,8;10,7;10,7;51,5;9,9;3,9;5,2;4,2;-0,2;13,3;13,4;13,8;13,5;16,8;12,8;8,8;10,1;6,8;1,9;9,5;8,9
8,8;11,9;6,8;-0,8;15,2;23,9;10,7;6,4;14,6;6,8;17,6;2;13,6;29,2;15,1;11,3;19,6;6,1;7,6;2,9;2,8;6,8;5,5;19,6;-2,1;7,2;4;5,4;5,8;5,2;11,7
7,5;8,5;0,3;-13,3;88,9;4,8;3,4;-0,5;12,8;4,6;23,9;-3,8;8,4;35,1;9,4;7,4;12,4;1,8;13,2;5,6;5,6;0,4;0;3,3;12,8;9,2;4;1,6;-0,5;2,6;7,6
7,2;5,9;5,5;7;8;7,4;24,5;-11,8;3,7;11,3;-5,4;20,5;9,1;-13,7;6,9;10;2,7;16;10,7;9,8;9,9;11,9;12;10,6;7,4;0,2;8,6;8,5;4,8;10,5;7,8
7;6,6;-1,6;-1,7;-14,5;8;9,8;-11,7;10,3;10,8;15,1;8,9;-4,5;16,1;18;6,8;15,1;0,7;6,8;7,6;7,6;6,9;6,2;13,9;8,6;4;4,8;2,8;-2,3;5,5;12,5
7,2;8,6;-1,7;-5,4;6,7;-3,2;-0,7;2,1;15,3;21,4;21,9;21,2;18,9;18,6;1,6;5,7;7,5;4,5;5,2;4,5;4,5;5,4;5,3;6,7;3,4;-1,3;2,6;2;-2,3;4,3;15,6
1,8;3,1;4,2;4,5;7,3;8,5;-6;10,8;5,7;12,7;35,9;3,4;18;-11,7;3,8;-1,7;1,7;-6,6;6,4;-0,8;-0,9;6,8;7,6;-0,5;-10,3;10,3;0,5;5,2;3,5;6,1;8,1
7,7;14,1;15,8;9,4;-1,9;11,2;40,1;14,3;19;33,3;29,4;35;-4;29;13,3;5,1;5;7,3;-1,4;-3,7;-3,8;-1,5;-1,5;-0,6;-7,1;10,2;1,7;3,6;15,6;-2,1;21,3
-2,1;7,2;13;13,6;30,4;-6,6;5,3;29,7;4,7;2,9;18,3;-3,6;27;-5,6;-0,4;7,1;4,8;12;-2,3;-18,6;-18,7;-24,5;-26,6;-3,3;-10;-6,8;-9,7;-8,7;12,7;-19;3,7
-2,5;7;7,8;11,4;20,2;15,8;-4,7;6,4;3,3;13,2;32,1;5,2;-3;7,2;-7,7;13,3;9;21,9;-2,6;-20,4;-20,6;-27,6;-29,9;-6,5;-10,4;-4,2;-11,9;-10,8;7,5;-20,7;11,5
-2,8;4,3;0,1;-2,8;-22,7;19,4;-5,9;11;2,2;1,4;4,1;0,1;1,1;5,1;1,2;11,9;12,4;15,2;-0,2;-17,4;-17,5;-29,1;-33,6;13;-0,5;-8,4;-11,6;-13,7;-0,2;-21,9;5,6
-0,3;7,4;15,8;20,6;13,2;59,2;-1,6;3,5;5,7;29,9;22;33,9;-7,3;0;-7,7;3,4;17,5;-4;-4,9;-16,8;-17,1;-23,8;-25,6;-11,3;-8,6;4,3;-6;-4,7;15,6;-17,4;24,8
1,9;9,2;24,1;13,4;24,3;64,5;2,4;44,8;5,7;6,7;-3,5;11,7;28,7;-19,7;12,6;2,7;3;3,7;-1,9;-14,9;-15;-16,8;-14,8;-28,8;-12,9;-5;-1,1;3;23,6;-11,3;5,2
-2,3;6,4;20,6;6,7;89,5;47;1,2;27,9;2,1;14,1;21,3;11,2;2,1;-9,8;-3,7;1,4;7,1;-2,5;0,3;-23,1;-23,4;-27,3;-28;-22,4;-18,8;-1,4;-6,9;-3,9;20;-21,5;11,2
-3,8;6,3;10,6;0,8;33,7;38,1;-6,6;16,9;2,4;28,2;23,2;30,5;-18,7;-5,9;-2,4;8,7;10,9;11,2;-6;-29,3;-29,7;-39,4;-42,5;-16,5;-17,9;-3,5;-13,4;-11,3;9,9;-28,9;20,9
-6,1;1,6;1,8;-3,7;3,7;8,4;-1,7;8,4;-2,2;1,7;15,4;-3,8;0,7;-5,7;-7,6;7,7;18;3,8;-6,3;-28,2;-28,6;-39;-43,7;-5,9;-16,9;0,9;-15;-14,8;1,5;-30,5;7,9
-3,2;0,8;6,8;-4,8;35,1;-17,8;32,3;17,7;-4,7;4,5;4,6;4,4;-3,2;-31,4;7,2;4;4,2;6,5;-6,9;-16,9;-17,3;-23,1;-27,9;4;-11,6;5,3;-5,7;-5,4;6,6;-18,7;4,3
-9,7;-7,3;-2,4;-11,4;10,3;-20,7;22,1;1,3;-12;-7;-10;-5,6;-7,3;-36,1;-2;-4,6;3,2;-9;-10;-18,8;-18,9;-36,8;-42,3;-9;-0,1;-13,9;-10,5;-12,3;-2,9;-23,7;-2,9
-23,9;-21,3;-8,9;-29,7;9,2;10;10,4;-13;-39;-24,3;-23,1;-24,9;-12;-73,6;-48,2;-2,8;-6,6;1;-5,6;-33,6;-33,8;-44,9;-48,9;-28;-24,1;-20,3;-21,1;-19;-9,3;-31,7;-17,1
-28,2;-26,9;-26,6;-42,3;43,1;7;-43,1;-30,4;-37,7;-11,7;2,9;-17,6;-44;-82,4;-24,4;-10,5;-1,1;-18,2;-6,7;-33,5;-34;-59,2;-64,9;-34,4;-9,1;-6,7;-29,9;-31,4;-26,8;-38;-7,1
-13,7;-11,6;-27,4;-31,3;-8,4;11,3;-66,5;-9,2;-14,9;0,2;16,4;-6,6;-21,9;-36,1;-19,4;10,4;9,5;13,1;2,7;-22,4;-22,7;-48,6;-47,8;-51,5;-3;-7,7;-25,4;-27,8;-27,5;-28;4,4
1,5;-2,3;-24,5;-33,6;-28,7;20,6;-43,3;-29,1;10,5;20,6;15,1;23,3;-13,1;54,4;3,9;4,2;8;2,8;-2,9;19,9;20,2;26,7;73,1;-57,9;16,8;10,4;-6,9;-12,5;-24,6;9,9;14,7
2;2,7;-29,8;-36,2;-39,9;-30,8;12;-38;19,8;25;43,5;16,9;-5,5;114,3;4,8;12,7;20,1;8,2;7,5;-0,8;-1;-0,4;21,2;-61;-1,3;6,3;-17,2;-21,9;-29,5;-9,7;22,8
-0,1;2,9;-24;-25,6;-17,3;-60,6;84,5;-36;31,4;20,5;19,6;20,9;-9,7;205,1;32,1;-6,6;-5,5;-11,7;14,3;-12,3;-12,9;-2;13,8;-61,1;-18,1;15,3;-18,7;-16;-23,5;-5;8,3
15,4;13,8;12,2;-15,5;-16,2;50,5;65,9;-11,2;28,7;14;14,6;13,7;28;82,9;26,4;-2;-6,1;-3,1;18,9;22,5;22,5;13,5;22,3;-35,3;27,6;22;17,2;14,9;12,4;18,2;4,9
2,2;11,3;-5,5;-10;-39,9;-8,6;32;-13,8;23,3;14,5;-3,5;24,5;8,6;120,5;-0,4;8;7,3;8,6;7,6;-31;-31,6;-25,2;-26,6;-12,4;-34,8;-3,8;-19,4;-11,6;-5,2;-19,2;11,4
7,9;8,1;8,2;-2,6;-40,6;76,6;7,1;-9,2;8,4;3,9;-15,8;14,4;19,6;5,7;8,8;7,7;8,3;7,6;6,3;6,8;6,7;-14,5;-16,5;2,1;19,8;11,1;7,4;2;7,9;-5,4;5,7
